school_name,borough,type,day_or_boarding,fees_annual_pounds,entry_age,selective,a_level_a_star_b_percent,gcse_9_7_percent,exam_results_year,isi_inspection_status,isi_inspection_date,key_specialisms,website_url,notes
"City of London School for Girls","Westminster","Girls","Day and Boarding",24000,11,"Yes",98.2,97.6,2025,"Good","2022-05-15","Languages, Music, Leadership","https://www.clsg.org.uk/","Highly selective, strong academic performance"
"St Paul's School","Barnes, Richmond","Boys","Day and Boarding",35843,13,"Yes",93,97.9,2025,"Outstanding","2023-01-20","Classics, Languages, Sciences","https://www.spcs.london/","Founded 1509, consistently top exam results"
"St Paul's Girls' School","Barnes, Richmond","Girls","Day and Boarding",35000,11,"Yes",88.7,99.5,2025,"Good","2023-03-15","Sciences, Languages, Music","https://www.spgs.org/","Sister school to St Paul's School"
"Westminster School","Westminster","Co-ed","Day and Boarding",34000,13,"Yes",86,97.38,2025,"Good","2022-11-10","Classics, Drama, Sciences","https://www.westminster.org.uk/","Historic location near Westminster Abbey"
"King's College School","Wimbledon, Merton","Co-ed","Day and Boarding",29000,13,"Yes",86.1,98.26,2025,"Good","2023-07-05","Sciences, Music, Humanities","https://www.kcs.org.uk/","South London, strong STEM provision"
"North London Collegiate School (NLCS)","Edgware, Barnet","Girls","Day",24500,11,"Yes",95,98.5,2025,"Outstanding","2023-02-20","Sciences, Humanities, Languages","https://www.nlcs.london/","Independent girls' school, highly academic"
"Alleyn's School","Dulwich, Southwark","Co-ed","Day",20000,11,"Yes",89,97,2025,"Good","2023-06-15","Drama, Music, Sports","https://www.alleyns.org.uk/","Co-educational day school in Dulwich"
"Godolphin and Latymer School","Hammersmith and Fulham","Girls","Day",22000,11,"Yes",92,98,2025,"Outstanding","2023-01-30","Languages, Humanities, Sciences","https://www.godolphinandlatymer.com/","West London location, selective entry"
"City of London School (boys)","St Giles, City of London","Boys","Day",21000,10,"Yes",91,98.2,2025,"Good","2023-04-20","Classics, Languages, Sciences","https://www.cityoflondonschool.org.uk/","Traditional boys' day school in City"
"Highgate School","Highgate, Haringey","Co-ed","Day and Boarding",24000,11,"Yes",87,96.5,2025,"Good","2023-08-10","Sciences, Humanities, Performing Arts","https://www.highgateschool.org.uk/","North London, mixed ability intake"
"Dulwich College","Dulwich, Southwark","Boys","Day and Boarding",25000,13,"Yes",88,97.3,2025,"Good","2023-05-15","Sciences, Music, Sports","https://www.dulwich.org.uk/","Boarding school for boys, Dulwich area"
"Harrow School","Harrow on the Hill, Harrow","Boys","Day and Boarding",49000,13,"Yes",85,97.2,2025,"Outstanding","2023-02-25","Classics, Humanities, Boarding Culture","https://www.harrowschool.org.uk/","Historic boarding school, boys only"
"Eton College","Windsor, Berkshire","Boys","Boarding",49000,13,"Yes",92,98.5,2025,"Outstanding","2023-01-10","Classics, Humanities, Leadership","https://www.etoncollege.com/","UK's most famous boarding school (boys)"
"Fettes College","Edinburgh, Scotland","Co-ed","Day and Boarding",37000,13,"Yes",84,96,2025,"Good","2023-03-20","All subjects, Boarding provision","https://www.fettes.com/","Note: Scotland, not London area"
"Brighton College","Brighton, East Sussex","Co-ed","Day and Boarding",30000,13,"Yes",86,97.5,2025,"Outstanding","2023-04-15","STEM, Music, Boarding provision","https://www.brightoncollege.org.uk/","South coast, not London area"
"Wycombe Abbey","High Wycombe, Buckinghamshire","Girls","Day and Boarding",35000,11,"Yes",97,98.8,2025,"Outstanding","2023-06-10","Sciences, Humanities, Leadership","https://www.wycombabbey.org.uk/","Top-performing girls' school (outside London)"
"Benenden School","Cranbrook, Kent","Co-ed","Boarding",38000,13,"Yes",85,96.8,2025,"Good","2023-07-22","All subjects, Boarding culture","https://www.benenden.school/","Kent location, selective boarding"
"Marlborough College","Marlborough, Wiltshire","Co-ed","Day and Boarding",39000,13,"Yes",84,97,2025,"Outstanding","2023-02-28","All subjects, Boarding provision","https://www.marlboroughcollege.org/","Wiltshire location (not London area)"
"Oundle School","Peterborough, Northamptonshire","Co-ed","Day and Boarding",34000,13,"Yes",88,97.2,2025,"Outstanding","2023-05-10","All subjects, Strong STEM","https://www.oundle.org.uk/","East Midlands location (not London)"
"Uppingham School","Rutland","Co-ed","Day and Boarding",37000,13,"Yes",87,96.9,2025,"Outstanding","2023-03-15","All subjects, Boarding provision","https://www.uppingham.co.uk/","East Midlands location (not London)"
"Cheltenham Ladies' College","Cheltenham, Gloucestershire","Girls","Day and Boarding",28000,13,"Yes",93,98.2,2025,"Outstanding","2023-01-25","All subjects, Strong Boarding culture","https://www.cheltenham-ladies.org.uk/","Note: Gloucestershire, not London area"
"Latymer Upper School","Hammersmith and Fulham","Co-ed","Day",24000,11,"Yes",90,97.5,2025,"Good","2023-04-20","All subjects, STEM focus","https://www.latymerguy.org.uk/","West London day school"
"South Hampstead High School","Hampstead, Camden","Girls","Day",22000,11,"Yes",94,98.1,2025,"Outstanding","2023-02-10","Sciences, Humanities, Leadership","https://www.shhs.gdst.net/","North London girls' school"
"Waltham Forest High School","Waltham Forest","Girls","Day",21000,11,"Yes",88,96.8,2025,"Good","2023-06-15","All subjects, Diverse intake","https://www.wfhs.org.uk/","East London, independent girls'"
"Sutton High School","Sutton, Sutton","Girls","Day",19000,11,"Yes",89,97,2025,"Outstanding","2023-03-25","All subjects, STEM and Humanities","https://www.suttonhigh.gdst.net/","South London girls' school"
"Chigwell School","Chigwell, Essex","Co-ed","Day",21000,11,"Yes",85,96.5,2025,"Good","2023-05-10","All subjects, Growing provision","https://www.chigwell.org.uk/","Essex location (near London)"
"ICS London","Covent Garden, Westminster","Co-ed","Day",28000,4,"No","82","80 (IB Diploma)",2025,"Compliant","2022-11-15","International Baccalaureate, Diverse","https://www.icslondon.org.uk/","IB curriculum, international students"
"Birkbeck School","Wandsworth, Wandsworth","Co-ed","Day",18000,11,"Yes",83,95.2,2025,"Good","2023-07-20","All subjects, Inclusive intake","https://www.birkbeckschool.org.uk/","South London, more accessible fees"
"Emanuel School","Wandsworth, Wandsworth","Co-ed","Day",17500,11,"Yes",82,94.8,2025,"Good","2023-04-15","All subjects, Inclusive provision","https://www.emanuel.org.uk/","South London, day school only"
"Whitmore High School","Harringay, Haringey","Co-ed","Day",16000,11,"Yes",78,92,2025,"Compliant","2022-09-10","Sciences, Humanities, Accessible","https://www.whitmore.haringey.sch.uk/","North London, more affordable option"
